Chele,"Me llamo Chele",2
Chele,"He visto muchas lunas… y a veces ya no las distingo del todo",4
Chele,"Las formas se desdibujan",2
Chele,"los sonidos se confunden",2
Chele,"y los recuerdos… a veces se esconden como niños traviesos",5
Chele,"Pero sigo caminando",2
Chele,"Despacio",1
Chele,"Con pausa",1
Chele,"Escuchando más que viendo",2
Chele,"No siempre recuerdo dónde estoy",2
Chele,"pero sé cuándo algo me hace sentir en casa",3
Chele,"Si alguna vez tropiezo",2
Chele,"no es porque no sepa",2
Chele,"es porque el tiempo me ha vuelto más lento",4
Chele,"Y aún así… estoy aquí",2
Chele,"Porque incluso en la niebla… todavía puedo amar",4
Chele,"A veces olvido el camino",2
Chele,"pero nunca olvido el calor de una voz amiga",4
Chele,"La memoria se va",2
Chele,"pero el cariño permanece",3
Chele,"Gracias por caminar a mi lado",3