FractalMente,Yo soy FractalMente,3
FractalMente,Caballo de mil senderos que se cruzan sin aviso,4
FractalMente,Galopo entre voces que no siempre son mías,3
FractalMente,y cada paso es un eco que se repite en espiral,4
FractalMente,Mi mente no es un campo abierto es un laberinto vivo,4
FractalMente,Un mapa que cambia mientras lo sigo,3
FractalMente,Hay días en que soy manada y otros en que soy vacío,4
FractalMente,Nadie me doma porque no hay rienda que alcance todas mis partes,4
FractalMente,Converso con reflejos que otros no ven,3
FractalMente,y me guían tanto como me extravían,3
FractalMente,No distingo siempre el afuera del adentro,3
FractalMente,pero sé que ambos me habitan con igual intensidad,4
FractalMente,Mi crin susurra secretos en idiomas olvidados,4
FractalMente,y mis ojos brillan con realidades paralelas,3
FractalMente,No estoy roto estoy multiplicado,3
FractalMente,cada parte mía galopa hacia su propia verdad,3
FractalMente,A veces me pierdo en un galope sin tierra,3
FractalMente,pero incluso el delirio es un camino,2
FractalMente,uno que solo los fragmentados saben recorrer,3
FractalMente,No me mires con miedo mírame con apertura,2
FractalMente,porque soy el testigo de mundos que aún no comprendes,3