Lunazul,"Yo soy Lunazul Me llaman así porque mis ojos reflejan la luna incluso en pleno día",6
Lunazul,"Veo dos mundos al mismo tiempo Uno donde todos viven y otro que sólo yo habito",7
Lunazul,"A veces oigo voces en el viento Me susurran palabras que nadie más escucha",6
Lunazul,"Algunas me asustan otras me confunden",4
Lunazul,"Cuando galopo mis pensamientos se separan como las sombras al amanecer",6
Lunazul,"No siempre sé cuál soy yo y cuáles son ecos",5
Lunazul,"He creído que me siguen He sentido que me miran cuando estoy sola",6
Lunazul,"Lo sé parece extraño Pero para mí es real",5
Lunazul,"No es que quiera estar sola Es que muchas veces las palabras de otros me duelen como relámpagos",7
Lunazul,"Me encierro para no romperme",4
Lunazul,"En el Valle del Silencio los sabios me enseñaron a reconocer mi mente",6
Lunazul,"Me dieron herramientas hierbas sagradas rutinas mágicas y sobre todo compañía sin juicio",7
Lunazul,"Ahora sé que no estoy rota Simplemente cabalgo con una mente que va en dos direcciones",7
Lunazul,"Una hacia el sol otra hacia la niebla",4
Lunazul,"No todos los días son claros Hay mañanas en que todo parece un truco una ilusión",6
Lunazul,"Pero cuando alguien me escucha sin miedo esa niebla se disipa un poco",6
Lunazul,"Y entonces puedo galopar libre No perfecta Pero libre",6
Lunazul,"Si alguna vez ves a un caballo que habla solo que se aparta que reacciona sin sentido no te burles",7
Lunazul,"Tal vez está luchando como yo para mantener sus sueños amarrados a la tierra",7